name,repo_clone_url,age,releases_number,stargazers
karate,https://github.com/karatelabs/karate,5.0,43,5785
rabbitmq-tutorials,https://github.com/rabbitmq/rabbitmq-tutorials,11.0,0,5774
rest-assured,https://github.com/rest-assured/rest-assured,11.0,0,5774
material-calendarview,https://github.com/prolificinteractive/material-calendarview,7.0,22,5771
javacv,https://github.com/bytedeco/javacv,8.0,8,5774
testcontainers-java,https://github.com/testcontainers/testcontainers-java,7.0,54,5769
BoomMenu,https://github.com/Nightonke/BoomMenu,6.0,0,5755
motan,https://github.com/weibocom/motan,6.0,17,5756
richeditor-android,https://github.com/wasabeef/richeditor-android,7.0,0,5756
Paper,https://github.com/PaperMC/Paper,6.0,1,5731
onemall,https://github.com/YunaiV/onemall,2.0,0,5738
InfiniteCycleViewPager,https://github.com/Devlight/InfiniteCycleViewPager,5.0,2,5719
u2020,https://github.com/JakeWharton/u2020,8.0,0,5720
jsonschema2pojo,https://github.com/joelittlejohn/jsonschema2pojo,8.0,58,5700
FEBS-Shiro,https://github.com/febsteam/FEBS-Shiro,4.0,0,5692
netty-socketio,https://github.com/mrniko/netty-socketio,10.0,3,5690
SDE-Interview-Questions,https://github.com/twowaits/SDE-Interview-Questions,4.0,1,5684
pentaho-kettle,https://github.com/pentaho/pentaho-kettle,8.0,1,5669
DiskLruCache,https://github.com/JakeWharton/DiskLruCache,10.0,0,5661
AndroidImageSlider,https://github.com/daimajia/AndroidImageSlider,7.0,5,5651
ListViewAnimations,https://github.com/nhaarman/ListViewAnimations,9.0,14,5636
zeppelin,https://github.com/apache/zeppelin,7.0,0,5627
Spring-Cloud-Platform,https://github.com/wxiaoqi/Spring-Cloud-Platform,4.0,3,5630
FastHub,https://github.com/k0shk0sh/FastHub,5.0,63,5608
blade,https://github.com/lets-blade/blade,6.0,9,5600
ssm,https://github.com/liyifeng1994/ssm,5.0,0,5598
plantuml,https://github.com/plantuml/plantuml,11.0,10,5589
ShowcaseView,https://github.com/amlcurran/ShowcaseView,9.0,13,5578
DiscreteScrollView,https://github.com/yarolegovich/DiscreteScrollView,5.0,2,5573
circular-progress-button,https://github.com/dmytrodanylyk/circular-progress-button,7.0,1,5571
springfox,https://github.com/springfox/springfox,10.0,12,5565
